Title,Heading,Content,Tokens,Context,Questions,Answers,tokens
Workshops Committee,Responsibilities,"Conduct workshops, plan and execute sale of common registration and hand out certificates for all events",17.0,"Workshops Committee
Responsibilities

Conduct workshops, plan and execute sale of common registration and hand out certificates for all events","1. What is the Workshops Committee responsible for?
2. What is the Workshops Committee responsible for specifically with regards to workshops?
3. What is the Workshops Committee responsible for with regards to the sale of common registration?
4. What is the Workshops Committee responsible for with regards to handing out certificates for all events?","1. The Workshops Committee is responsible for conducting workshops, planning and executing the sale of common registration, and handing out certificates for all events.The Organizers of workshops for A'22 are Arnav, Jishnu and Abhishek.
2. The Workshops Committee is responsible for conducting workshops, specifically.
3. The Workshops Committee is responsible for planning and executing the sale of common registration.
4. The Workshops Committee is responsible for handing out certificates for all events.",
Workshops Committee,Description,The perfect blend of technical and non-technical aspects. Responsible for bringing in big organizations to Aaruush. Conducts paid and free workshops on both technical and non-technical topics in trend.,32.0,"Workshops Committee
Description

The perfect blend of technical and non-technical aspects. Responsible for bringing in big organizations to Aaruush. Conducts paid and free workshops on both technical and non-technical topics in trend.","1. What is the purpose of the Workshops Committee?
2. What is the focus of the Workshops Committee?
3. What is the Workshops Committee responsible for?
4. What are the goals of the Workshops Committee?","1. The purpose of the Workshops Committee is to bring in big organizations to Aaruush and to conduct paid and free workshops on both technical and non-technical topics in trend.
2. The focus of the Workshops Committee is to provide a blend of both technical and non-technical aspects.
3. The Workshops Committee is responsible for bringing in big organizations to Aaruush, conducting paid and free workshops on both technical and non-technical topics in trend, and providing a blend of both technical and non-technical aspects.
4. The goals of the Workshops Committee are to bring in big organizations to Aaruush, conduct paid and free workshops on both technical and non-technical topics in trend, and provide a blend of both technical and non-technical aspects.",
Workshops Committee,Number of workshops conducted,"2019 - 27 workshops, 2020 - 9 workshops, 2021 - 9 workshops, 2022 - 9 in E-Simulate + 2 workshops (and counting)",27.0,"Workshops Committee
Number of workshops conducted

2019 - 27 workshops, 2020 - 9 workshops, 2021 - 9 workshops, 2022 - 9 in E-Simulate + 2 workshops (and counting)","1. How many workshops were conducted in 2019?
2. How many workshops were conducted in 2020?
3. How many workshops were conducted in 2021?
4. How many workshops were conducted in 2022?
5. How many workshops were conducted in total?","1. 27 workshops were conducted in 2019.
2. 9 workshops were conducted in 2020.
3. 9 workshops were conducted in 2021.
4. 9 workshops were conducted in 2022.
5. 45 workshops were conducted in total.",
Workshops Committee,"Paid workshop - Deep dive into blockchain, crypto and all things web 3.0","In association with Koii. Duration: 90 mins. 200 participants. A comprehensive workshop on how blockchain has enabled the internet to enter a new age known as Web 3.0. Learn about the cryptocurrency pricing model and its future, with a focus on metaverse coins/tokens.",50.0,"Workshops Committee
Paid workshop - Deep dive into blockchain, crypto and all things web 3.0

In association with Koii. Duration: 90 mins. 200 participants. A comprehensive workshop on how blockchain has enabled the internet to enter a new age known as Web 3.0. Learn about the cryptocurrency pricing model and its future, with a focus on metaverse coins/tokens.","1. What is the focus of the workshop?
2. What is the cryptocurrency pricing model?
3. What is Web 3.0?
4. What is the future of blockchain?","1. The focus of the workshop is on blockchain and its role in enabling the internet to enter a new age known as Web 3.0.
2. The cryptocurrency pricing model is based on the value of tokens or coins within the blockchain network.
3. Web 3.0 is an age of the internet that is based on blockchain technology and its ability to enable secure and transparent transactions.
4. The future of blockchain is likely to be based on its ability to enable secure and transparent transactions.",
Workshops Committee,Paid workshop - Workflow of 3D Character Art,"In association with MSI. Duration: 180 mins. 250 participants. A comprehensive workshop on 3D character designing and art, from modelling and texturing to rendering, using Maya, Z-brush, and Unreal Engine 5.",40.0,"Workshops Committee
Paid workshop - Workflow of 3D Character Art

In association with MSI. Duration: 180 mins. 250 participants. A comprehensive workshop on 3D character designing and art, from modelling and texturing to rendering, using Maya, Z-brush, and Unreal Engine 5.","1. What is the duration of the workshop?
2. How many participants are allowed?
3. What software will be used in the workshop?
4. What will be covered in the workshop?","1. The duration of the workshop is 180 minutes.
2. 250 participants are allowed.
3. The software that will be used in the workshop is Maya, Z-brush, and Unreal Engine 5.
4. The workshop will cover 3D character designing and art, from modelling and texturing to rendering.",
Creatives Committee,Responsibilities,"Responsible for all the posters, stories, videos, and banners seen around the campus and on social media. Has 5 sub-domains: Photography & Videography, Graphics Designing, Video Editing, VFX, and Music. Organizers of A'22 are Fardeen, Ujjwal and Utkarsh and A'23 organizers are yet to be announced.",40.0,"Creatives Committee
Responsibilities

Responsible for all the posters, stories, videos, and banners seen around the campus and on social media. Has 5 sub-domains: Photography & Videography, Graphics Designing, Video Editing, VFX, and Music.","1. What is the Creatives Committee responsible for?
2. What are the five sub-domains of the Creatives Committee?
3. What is the purpose of the Creatives Committee?","1. The Creatives Committee is responsible for all the posters, stories, videos, and banners seen around the campus and on social media.The organizers of Creatives for A'22 were Md. Fardhin, Utkarsh and Ujjwal.
2. The five sub-domains of the Creatives Committee are Photography & Videography, Graphics Designing, Video Editing, VFX, and Music.
3. The purpose of the Creatives Committee is to create content for the school's social media and marketing campaigns.",
Creatives Committee,Masterstroke event,"Conducted in collaboration with Deco & Arts. An event to showcase creative works such as posters, banners, photos, and videos.",25.0,"Creatives Committee
Masterstroke event

Conducted in collaboration with Deco & Arts. An event to showcase creative works such as posters, banners, photos, and videos.","1. What is the Masterstroke event?
2. What is the purpose of the Masterstroke event?
3. Who is the Masterstroke event conducted in collaboration with?
4. What type of creative works are showcased at the Masterstroke event?","1. The Masterstroke event is a collaborative event between Deco & Arts to showcase creative works such as posters, banners, photos, and videos.
2. The purpose of the Masterstroke event is to provide a platform for creative works to be showcased and to inspire others to create their own works.
3. The Masterstroke event is conducted in collaboration with Deco & Arts.
4. The type of creative works showcased at the Masterstroke event are posters, banners, photos, and videos.",
Initiatives Committee,Responsibilities,"Embodies new ideas, projects, and initiatives to take the fest to higher echelons of success. Encourages innovation.",21.0,"Initiatives Committee
Responsibilities

Embodies new ideas, projects, and initiatives to take the fest to higher echelons of success. Encourages innovation.","1. What is the Initiatives Committee responsible for?
2. What does the committee encourage?
3. What is the goal of the committee?","1. The Initiatives Committee is responsible for embodying new ideas, projects, and initiatives to take the fest to higher echelons of success.The organizer of Initiatives for A'22 is Sumedha.
2. The committee encourages innovation.
3. The goal of the committee is to encourage innovation and take the fest to higher echelons of success.",
Deco & Arts Committee,Responsibilities,"Takes care of artistic banners, artwork, models, decorations in terms of flags, lights, and colors.",21.0,"Deco & Arts Committee
Responsibilities

Takes care of artistic banners, artwork, models, decorations in terms of flags, lights, and colors.","1. What is the Deco & Arts Committee responsible for?
2. What kind of decorations are the committee responsible for?
3. What is the purpose of the decorations?","1. The Deco & Arts Committee is responsible for artistic banners, artwork, models, decorations in terms of flags, lights, and colors. The organizers of Deco and Arts for A'22 were Arpita, Varma and Preetish.
2. The decorations include flags, lights, and colors.
3. The purpose of the decorations is to create a festive and visually appealing environment.",
Corporate Strategy and Implementation,Responsibilities,"Brands Aaruush in all aspects. Handles in and off campus publicity, crowd management, posters and banners, social media, roadshows planning, and oversees the execution of the campus ambassador programme.",36.0,"Corporate Strategy and Implementation
Responsibilities

Brands Aaruush in all aspects. Handles in and off campus publicity, crowd management, posters and banners, social media, roadshows planning, and oversees the execution of the campus ambassador programme.","1. What is the role of Brands Aaruush in all aspects?
2. What are the responsibilities of Brands Aaruush in terms of publicity?
3. What are the responsibilities of Brands Aaruush in terms of crowd management?
4. What are the responsibilities of Brands Aaruush in terms of social media?
5. What are the responsibilities of Brands Aaruush in terms of roadshows?
6. What are the responsibilities of Brands Aaruush in terms of the campus ambassador programme?","1. Brands Aaruush is responsible for all aspects of the company, including publicity, crowd management, social media, and roadshows.
2. Brands Aaruush is responsible for publicity in all forms, including on and off campus, through social media, and during roadshows.
3. Brands Aaruush is responsible for crowd management during events, including ensuring that the audience remains orderly and safe.
4. Brands Aaruush is responsible for social media outreach, including managing the company's social media accounts and interacting with customers online.
5. Brands Aaruush is responsible for planning and executing roadshows, which can include setting up and managing booths, arranging for entertainment, and recruiting campus ambassadors.
6. Brands Aaruush is responsible for the campus ambassador programme, which includes recruiting and training students to promote the company on campus.",
Corporate Strategy and Implementation,Crisis committee,Forms a committee with ORM to help in need of any crisis.,13.0,"Corporate Strategy and Implementation
Crisis committee

Forms a committee with ORM to help in need of any crisis.","1. What is the purpose of the crisis committee?
2. What is the role of ORM in the crisis committee?
3. What are the responsibilities of the crisis committee?","1. The purpose of the crisis committee is to help in the event of any crisis.
2. ORM is responsible for providing support to the crisis committee in order to help them carry out their responsibilities.The organizers for ORM for A'22 are Rahul and Ganesh.
3. The responsibilities of the crisis committee include assessing the situation, developing a plan of action, and implementing the plan.",
Operations & Resource Management,Responsibilities,Deals with all resources required for Aaruush team during any event. Forms a crisis committee with CSI (CSRM) to help in need of any crisis.,29.0,"Operations & Resource Management
Responsibilities

Deals with all resources required for Aaruush team during any event. Forms a crisis committee with CSI (CSRM) to help in need of any crisis.","1. What are the responsibilities of Operations & Resource Management?
2. What is the crisis committee?
3. What is the role of CSI in the crisis committee?","1. The responsibilities of Operations & Resource Management are to deal with all resources required for Aaruush team during any event and to form a crisis committee with CSI (CSRM) to help in the need of any crisis. The organiers for A'22 of CSI are Pranav, Ritika and Siddhant.
2. The crisis committee is a group of people who are responsible for helping in the case of a crisis.
3. The role of CSI in the crisis committee is to help with resources and to provide support to the committee.",
Operations & Resource Management,Resources,Includes details like permissions required for proper workflow of AARUUSH team.,12.0,"Operations & Resource Management
Resources

Includes details like permissions required for proper workflow of AARUUSH team.","1. What permissions are required for the proper workflow of the AARUUSH team?
2. What other resources are necessary for the proper workflow of the AARUUSH team?
3. How can the proper workflow of the AARUUSH team be disrupted?","1. The permissions required for the proper workflow of the AARUUSH team are access to the patient's medical records, access to the hospital's computer system, and access to the hospital's pharmacy.
2. Other resources necessary for the proper workflow of the AARUUSH team are a secure computer network, a secure pharmacy system, and a secure medical records system.
3. The proper workflow of the AARUUSH team can be disrupted by a breach in the hospital's computer network, a breach in the hospital's pharmacy system, or a breach in the hospital's medical records system.",
Finance Committee,Responsibilities,"Examines accounts, scrutinizes proposals for expenditures, and submits the annual budget for Aaruush. No expenditure in the budget is incurred without prior approval from the finance committee.",31.0,"Finance Committee
Responsibilities

Examines accounts, scrutinizes proposals for expenditures, and submits the annual budget for Aaruush. No expenditure in the budget is incurred without prior approval from the finance committee.","1. What is the finance committee's role in relation to the annual budget?
2. What is the finance committee's role in relation to expenditures?
3. What is the process for approving expenditures?","1. The finance committee is responsible for submitting the annual budget to Aaruush. The organizers of Finance for A'22 were Srikar and Siddhant.
2. The finance committee is responsible for scrutinizing proposals for expenditures and approving any expenditures in the budget.
3. The process for approving expenditures requires prior approval from the finance committee.",
Public Relations Committee,Responsibilities,"Helps establish and maintain lines of communication between the organization and its public. Includes content writing, documenting, achieving certified patronages and accreditations",25.0,"Public Relations Committee
Responsibilities

Helps establish and maintain lines of communication between the organization and its public. Includes content writing, documenting, achieving certified patronages and accreditations","1. What is the role of the Public Relations Committee?
2. What are the responsibilities of the Public Relations Committee?
3. What are some of the things the Public Relations Committee does?","1. The role of the Public Relations Committee is to help establish and maintain lines of communication between the organization and its public.The organizers of PR for A'22 were Stuti, Jishnu and Abhilasha.
2. The responsibilities of the Public Relations Committee are to write content, document, achieve certified patronages and accreditations.
3. Some of the things the Public Relations Committee does are write content, document, achieve certified patronages and accreditations.",
Sponsorship & Marketing,Corporate Meetings and Sponsorship,The committee works on corporate meetings and sponsorship to create a strong impression.,14.0,"Sponsorship & Marketing
Corporate Meetings and Sponsorship

The committee works on corporate meetings and sponsorship to create a strong impression.","1. What is the committee's goal for corporate meetings and sponsorship?
2. What does the committee do to create a strong impression?","1. The committee's goal for corporate meetings and sponsorship is to create a strong impression.The organizers of Sponsorship and Marketing for A'22 were Arnav, Abhilakshit and Rachana.
2. The committee does things like work on creating a strong impression through the use of branding and marketing.",
Highlights,Guest Lectures and Necessities,"The highlights committee takes care of guest lectures and all necessary arrangements, including transportation.",16.0,"Highlights
Guest Lectures and Necessities

The highlights committee takes care of guest lectures and all necessary arrangements, including transportation.","1. What is the highlight committee responsible for?
2. What are the necessary arrangements that the highlight committee is responsible for?
3. What is the highlight committee's main responsibility?","1. The highlight committee is responsible for guest lectures and all necessary arrangements, including transportation.The organizersof Highlights of A'22 were Shreya Saha Roy and Shrestha.
2. The necessary arrangements that the highlight committee is responsible for include transportation.
3. The highlight committee's main responsibility is to ensure that all necessary arrangements, including transportation, are taken care of for guest lectures.",
Championships and Challenges,Varied Extravaganza of Competitions,"Students can showcase their talent in various championships such as Robowars, Sports, Coding, RC cars, and Quadcopter. Challenges provide opportunities to test technical skills.",30.0,"Championships and Challenges
Varied Extravaganza of Competitions

Students can showcase their talent in various championships such as Robowars, Sports, Coding, RC cars, and Quadcopter. Challenges provide opportunities to test technical skills.","1. What are some of the championships that students can compete in?
2. What are some of the challenges that students can participate in?
3. What are some of the benefits of competing in championships and challenges?","1. Some of the championships that students can compete in are Robowars, Sports, Coding, RC cars, and Quadcopter. The organizers for A'22 of Challenges and Championship were Sahaj and Ganesh.
2. Some of the challenges that students can participate in are testing technical skills.
3. The benefits of competing in championships and challenges are that students can showcase their talent and test their skills.",
Outreach Committee,Increasing the reach of Aaruush,The committee plays a crucial role in increasing the reach of Aaruush outside of the campus and across the country. They collaborate with other colleges and help them organize events and workshops.,34.0,"Outreach Committee
Increasing the reach of Aaruush

The committee plays a crucial role in increasing the reach of Aaruush outside of the campus and across the country. They collaborate with other colleges and help them organize events and workshops.","1. What is the role of the outreach committee?
2. What does the outreach committee do to increase the reach of Aaruush?
3. What colleges does the outreach committee collaborate with?
4. What events and workshops does the outreach committee help organize?","1. The role of the outreach committee is to increase the reach of Aaruush outside of the campus and across the country.The organizer of Outreach for A'22 is ABhishek.
2. The outreach committee does this by collaborating with other colleges and helping them organize events and workshops.
3. The outreach committee collaborates with other colleges to help them organize events and workshops that promote Aaruush and its values.
4. Some of the events and workshops that the outreach committee helps organize are Aaruush Week, the Aaruush Leadership Summit, and the Aaruush National Convention.",
Sponsorship Marketing,Sponsorship Marketing Committee Overview,Sponsorship Marketing is responsible for generating revenue for the fest by securing sponsorships from various corporate and government entities. The committee is also responsible for managing relationships with sponsors and providing them with the necessary benefits.,38.0,"Sponsorship Marketing
Sponsorship Marketing Committee Overview

Sponsorship Marketing is responsible for generating revenue for the fest by securing sponsorships from various corporate and government entities. The committee is also responsible for managing relationships with sponsors and providing them with the necessary benefits.","1. What is the main goal of the Sponsorship Marketing Committee?
2. What are the benefits that sponsors receive?
3. How does the committee go about securing sponsorships?","1. The main goal of the Sponsorship Marketing Committee is to generate revenue for the fest by securing sponsorships from various corporate and government entities.
2. Sponsors receive a number of benefits, including branding and marketing opportunities, access to VIP areas, and tickets to the event.
3. The committee goes about securing sponsorships by reaching out to various corporate and government entities and pitching the benefits of sponsorship.",
Highlights,Highlights Committee Overview,"The Highlights committee is responsible for capturing the essence of the fest and creating engaging content through various forms of media. This includes photography, videography, and social media management. The committee also manages the official Aaruush website.",42.0,"Highlights
Highlights Committee Overview

The Highlights committee is responsible for capturing the essence of the fest and creating engaging content through various forms of media. This includes photography, videography, and social media management. The committee also manages the official Aaruush website.","1. What is the Highlights committee responsible for?
2. What does the Highlights committee do specifically?
3. What is the purpose of the Highlights committee?","1. The Highlights committee is responsible for capturing the essence of the fest and creating engaging content through various forms of media.
2. The Highlights committee does specifically is manage the official Aaruush website, take photographs and videos, and create social media content.
3. The purpose of the Highlights committee is to create engaging content for festival attendees that will help promote the event and create a lasting impression.",
Championship and Challenges,Championship and Challenges Committee Overview,"The Championship and Challenges committee manages the technical events of the fest, which include competitions, quizzes, and other challenges. The committee is responsible for creating event rules, managing the event flow, and organizing the judging process.",43.0,"Championship and Challenges
Championship and Challenges Committee Overview

The Championship and Challenges committee manages the technical events of the fest, which include competitions, quizzes, and other challenges. The committee is responsible for creating event rules, managing the event flow, and organizing the judging process.","1. What is the Championship and Challenges Committee responsible for?
2. What are the technical events of the fest?
3. What is the role of the committee in creating event rules?
4. How does the committee manage event flow?
5. How is the judging process organized?","1. The Championship and Challenges Committee is responsible for the technical events of the fest, which include competitions, quizzes, and other challenges.
2. The technical events of the fest include competitions, quizzes, and other challenges.
3. The committee is responsible for creating event rules, managing the event flow, and organizing the judging process.
4. The committee manages event flow by creating event rules, managing the event flow, and organizing the judging process.
5. The judging process is organized by creating event rules, managing the event flow, and organizing the judging process.",
